word, uni_lemma, avg_surprisal
airplane,airplane,6.619709136638235
all,all,4.832847404961634
animal,animal,9.44470279447494
another,another,5.123416872276609
apple,apple,10.305068189447576
arm,arm,10.826712015198499
asleep,asleep,9.695773149791517
aunt,aunt,14.65872049331665
away,away,4.843255186980626
baby,baby,5.390932790438334
babysitter,babysitter,14.987098693847656
back,back (location),4.21834010445928
bad,bad,5.828656788016188
ball,ball,7.726828007758418
balloon,balloon,9.413592338562012
banana,banana,13.505804061889648
bath,bath,6.078031850415607
bathroom,bathroom,7.1292440341069145
bathtub,bathtub,11.62610912322998
beach,beach,12.381133079528809
beads,beads,NA
bear,bear,8.719966435432434
bed,bed,5.759672416051229
bedroom,bedroom,11.064836406707764
bee,bee,14.775988578796387
bib,bib,NA
bicycle,bicycle,13.740249951680502
big,big,4.415336800220839
bird,bird,11.789442913872856
bite,bite,9.062303331163195
blanket,blanket,5.636393953772152
block,block,13.21556313832601
blow,blow,12.664725621541342
blue,blue,9.934005223787748
book,book,6.501222274614417
boots,boots,11.445135716029576
bottle,bottle,5.220863858858745
bowl,bowl,10.459127807617188
box,box,7.812907147914805
boy,boy,3.873303444407105
bread,bread,11.96009428501129
break,break,7.349541747570038
breakfast,breakfast,8.616058648642847
bring,bring,9.88911018371582
broken,broken,11.80268857834187
broom,broom,13.753659884134928
brother,brother,5.951280834294167
brush,brush (object),14.184582358912417
bubbles,bubbles,15.085680961608887
bug,bug,10.558431307474772
bump,bump,14.444772338867187
bunny,bunny,14.21328772438897
bus,bus,8.14537657224215
butter,butter,12.581840886010063
butterfly,butterfly,17.027084350585938
button,button,6.679226954778035
bye,bye,13.579438177744548
cake,cake,8.471193330041293
candy,candy,8.08515923111527
car,car,6.073010066660439
careful,careful,10.106868451955368
carrots,carrots,12.133109748363495
cat,cat,5.380388641357422
cereal,cereal,8.565866858870894
chair,chair,4.199854895219964
cheek,cheek,NA
cheerios,cheerios,13.05476427078247
cheese,cheese,10.637776515063118
chicken,chicken (animal),13.174027034214564
chicken,chicken (food),13.174027034214564
child,child,12.254239877065023
church,church,13.855126857757568
clean,clean (action),11.750296480515424
clean,clean (description),11.750296480515424
clock,clock,11.241696014404297
close,close,8.480406505305593
coat,coat,12.620579219999767
cockadoodledoo,cockadoodledoo,NA
coffee,coffee,12.37714080810547
cold,cold,7.069504930127051
comb,comb (object),15.21293862660726
cookie,cookie,8.445025041368272
couch,couch,12.545892238616943
cow,cow,11.961530886198345
cracker,cracker,10.657046476999918
crib,crib,10.751903533935547
cry,cry,8.14265064291052
cup,cup,8.512306430123068
cute,cute,6.329922368593305
daddy,daddy,5.38820432124353
dance,dance,9.85849985395159
dark,dark,10.91839130108173
day,day,7.261361864305312
deer,deer,14.033163070678711
diaper,diaper,8.735758948326112
dinner,dinner,8.151191234588623
dirty,dirty,8.117842871567298
dish,dish,11.265751838684082
dog,dog,6.5913125144110785
doll,doll,7.454107332229614
dont,don't,3.138038400671449
donkey,donkey,15.20576286315918
door,door,5.8309934616088865
down,down,3.348257469298017
draw,draw,11.930824160575867
drawer,drawer,9.170689736093793
dress,dress (object),10.622196992238363
drink,drink (action),8.176969556666132
drink,drink (beverage),8.176969556666132
drive,drive,12.595231492178781
dry,dry (description),8.671242600395566
duck,duck,13.66336170832316
ear,ear,13.474841356277466
eat,eat,4.372816385381362
egg,egg,12.84630823135376
elephant,elephant,13.943758179159726
empty,empty,10.995718547276088
eye,eye,7.0777294635772705
face,face,5.129195886499741
fall,fall,5.899748453933202
fast,fast,8.603192329406738
feed,feed,10.45351767539978
fine,fine,10.162178993225098
finger,finger,6.553559475474888
finish,finish,6.762033799598957
firetruck,firetruck,NA
fish,fish (animal),12.296069962637764
fish,fish (food),12.296069962637764
flower,flower,10.37487824757894
food,food,5.705508035326761
foot,foot,7.846031388928814
fork,fork,10.67362015587943
frog,frog,14.143577337265015
garage,garage,12.784537315368652
garden,garden,10.48780632019043
gentle,gentle,NA
get,get,3.3687561504478785
giraffe,giraffe,14.55682727268764
girl,girl,6.601815412629326
give,give,5.244984084849238
glass,glass,6.898121697562082
glasses,glasses,9.92686096827189
go,go,3.3815502755391775
good,good,4.687555149458521
goose,goose,14.045234533456656
grandma,grandma,10.455067534195749
grandpa,grandpa,9.060180043065271
grrr,grrr,15.659375190734863
hair,hair,7.699190859209027
hammer,hammer,12.696302141462054
hand,hand,5.492114802201589
happy,happy,9.555807807710435
hard,hard,5.441212741340079
hat,hat,8.129180944882906
head,head,4.279800433204287
hello,hello,14.956662368774413
help,help,6.183272329176435
her,her,6.152150777009156
hi,hi,8.534341639280319
his,his,4.20875410832368
hit,hit,6.543592379206703
home,home,6.586269328468724
horse,horse,11.107359647750854
hot,hot,6.752449966612316
house,house,3.8757180078140157
how,how,4.389625693647815
hug,hug,NA
hungry,hungry,9.286913340946413
hurry,hurry,15.894874011769014
hurt,hurt (description),5.151701044328142
i,i,2.9364674493681777
in,in,3.6053067359198434
inside,inside,7.899998563401242
it,it,2.635666770141812
jacket,jacket,13.93327293395996
jeans,jeans,14.286793231964111
juice,juice,8.880536413192749
jump,jump,9.690340076883635
keys,keys,11.880741691589355
kick,kick,12.359813263541774
kiss,kiss,4.424431919112918
kitchen,kitchen,6.200647537524883
kitty,kitty,5.7251928753323025
knee,knee,6.375866330188254
lady,lady,11.675541731027456
lamb,lamb,14.337060546875
lamp,lamp,11.578648143344456
later,later,10.215822156270345
leg,leg,7.017158332623933
light,light (object),8.464265815913677
lion,lion,7.4297464966773985
little,little (description),3.9042238005063354
look,look,5.851621020358542
love,love,6.712627591027154
lunch,lunch,11.438124294938712
man,man,5.678045731909732
me,me,2.457759139873871
meat,meat,10.3224265727591
medicine,medicine,13.002806981404623
meow,meow,15.853258768717447
milk,milk,5.8297600340681015
mine,mine,6.950049492620653
mommy,mommy,6.403619943816087
money,money,5.401962636095105
monkey,monkey,8.802530163212827
moo,moo,17.480880737304688
moon,moon,10.055636882781982
more,more,4.065915342308421
morning,morning,5.814902847888423
